GPA,FamilyIncome,Sleep,District,StudyTime,Pass
2.5,63794,6.5,6,38,1
3.4,81420,5.4,5,40,1
2.8,73076,6.6,5,44,1
3.4,65060,5.4,6,32,1
3.1,62107,5.9,6,24,0
4,71516,5.3,6,33,1
2.3,81773,4.5,7,48,1
2.2,65675,5.2,6,26,0
3.7,85461,5.6,7,50,1
1.7,114273,5.2,8,39,0
2.5,56149,6.7,6,35,1
1.3,91500,7.2,6,46,1
3.1,57330,6.8,5,43,1
2.2,79761,5.7,5,42,0
1.6,88375,4.6,5,49,0
2.4,76044,6.3,5,48,1
2.7,71748,5.8,4,56,1
2.1,66811,6.2,5,31,0
2.4,69232,6.7,5,46,1
2.6,50934,6.9,5,27,0
2.8,56152,5.2,3,43,0
3.6,90100,6.3,5,33,1
1.4,83848,4.5,3,36,0
2.9,73958,5.6,5,31,0
2.9,72047,6.7,6,50,1
0.6,71143,5.4,4,35,0
2.3,75319,4.7,6,15,0
2.2,83727,5.5,5,63,1
2.6,95805,6.4,4,43,1
2.6,92745,6.4,5,34,0
2.7,61393,7,6,55,1
2,56658,5.4,4,52,0
3.4,72937,6.1,4,33,0
3.4,77798,5.8,5,63,1
2.9,71538,5.4,6,51,1
2.3,86181,6.7,6,45,1
3.4,52053,6,4,42,1
1.3,29858,4.5,4,43,0
1.5,68590,7.6,6,36,1
2.8,74443,5.4,5,39,0
4,94117,6.3,6,31,1
2.4,75988,6.7,3,19,0
1.3,72634,5.6,6,38,0
1.3,72328,6.3,4,37,0
2.8,66663,6.7,4,33,0
2.3,65819,4.9,4,23,0
3.8,65533,6.4,4,39,1
2.4,70568,4.3,3,42,0
3.6,90217,6.9,5,31,1
3.8,103454,5.1,4,42,1
3.9,76107,7.2,3,45,1
2.5,73909,6.4,5,27,0
2.8,75795,6.7,7,39,1
3,79406,6.5,6,49,1
3.3,74898,4.5,5,41,0
3.1,61008,5.7,6,29,0
4,84733,6.3,6,46,1
2.4,83935,4.8,3,34,0
2.3,97902,5.7,5,38,0
2.4,76694,7.3,4,27,0
2.8,65515,6.6,4,66,1
1.2,108101,5.7,6,55,1
2.7,80148,4.9,5,19,0
3.2,73280,6.1,5,29,0
2.1,55873,5.9,6,37,0
2.3,61980,6.1,5,22,0
2.4,92073,7,6,49,1
3.1,68026,5.9,6,34,1
3.7,87245,6.6,4,32,1
1.9,73372,6.7,6,29,0
3.3,61826,6.8,6,36,1
2.2,87463,6,6,41,1
1.6,66735,7.3,4,43,0
3.5,67178,6.1,5,52,1
3.5,62482,4.4,3,48,0
3.3,44395,6,5,36,1
2.1,56673,5.4,6,46,1
0.6,74413,4.6,5,48,0
3.1,71478,3.3,5,52,0
1.7,43052,6.3,4,56,1
3.7,49548,5.9,6,25,0
2.8,91152,6.3,4,40,0
3.3,75636,4.4,5,38,0
4,66282,7,5,48,1
2.3,94434,6.8,5,46,1
3.2,70789,5.2,4,37,0
1.4,60425,4.6,5,36,0
3.4,77959,5.7,6,38,1
2.4,65313,5.7,6,67,1
0.5,99880,7.5,5,18,0
2.6,105823,8.6,6,16,0
2.8,67838,7.2,5,48,1
1.2,86843,6.3,4,33,0
3.7,93210,5.8,6,22,0
2.4,90004,5.4,6,33,0
3.8,103977,4.7,3,30,0
3.5,102705,5.4,5,34,0
3.9,70176,5.5,5,45,1
2.6,54436,6.6,4,26,0
3.4,63827,6.8,6,28,1
2.6,92631,5.7,5,40,0
2.4,75456,6.9,7,54,1
2.7,74915,6.2,6,40,1
3.1,65735,3.2,4,44,0
1.9,59113,6.1,5,46,0
2.5,97356,5.7,6,38,1
1.2,85134,6.8,3,25,0
2.7,75350,6.4,5,37,0
0.8,71283,6,5,39,0
2.8,82047,4.8,5,42,0
2,92481,6.4,6,40,1
3.6,84779,5.8,5,46,1
3,85492,7.2,6,27,1
3.4,77389,5.3,5,38,1
2.1,67048,6.3,4,25,0
3.2,70525,4.6,4,35,0
2.8,68163,6,5,33,0
4,49739,5.2,1,42,0
2.2,75842,5.9,4,38,0
2.3,75440,5.9,6,35,0
0.6,65494,6.1,4,41,0
2.8,92806,8.3,6,33,1
3,84336,7.6,5,27,0
4,73951,7,6,34,1
3.3,75332,6.4,6,37,1
2.3,100790,5.4,7,43,1
1.2,58324,7.3,6,41,1
3.3,59384,6.1,6,32,1
3.3,64246,5.1,3,18,0
3.2,72768,6.9,4,21,0
3.1,51699,5,5,46,1
2.9,108745,6.4,3,26,0
2.9,71573,6.7,5,30,0
3.4,86176,4.9,3,31,0
1.5,49238,4.9,5,37,0
3,89139,7,5,25,0
3.6,62785,7.7,3,48,1
2.5,87399,6.9,6,23,0
1.6,59392,6,6,43,1
2.1,45198,6.6,6,29,0
1.7,79739,5.4,6,54,1
2.6,53098,5.8,4,37,0
2.4,47329,7.1,5,54,1
3.6,74976,6.1,6,41,1
3.4,101776,7.6,5,39,1
3.2,98234,6.4,6,50,1
3.1,77920,4.3,4,32,0
2.5,36072,6.1,4,54,1
2.7,72604,5.9,3,27,0
1.8,112896,5.5,7,51,1
1.7,79140,5.6,3,40,0
3.6,94748,6.9,5,34,1
2.3,87465,4.8,5,54,1
1.2,60304,6.4,5,42,0
3.5,91692,6.4,7,30,1
2.9,44293,4.9,5,47,1
3.1,64309,5.9,4,29,0
1.5,94151,5,7,37,0
3,41555,4.1,4,24,0
1.6,77855,5.9,5,35,0
1.9,73930,6.2,7,45,1
2.5,93284,7.2,5,31,0
3.9,62064,5.7,4,27,0
3,90229,5.9,5,25,0
1.4,65380,5.8,5,36,0
3.9,62040,5.3,4,33,0
3.2,78737,4.9,5,35,0
3.8,81144,5.6,6,32,1
2.8,59595,6.2,5,33,0
0.8,73021,5.3,5,18,0
2.7,87981,6,6,45,1
2.7,55832,7,5,57,1
3.4,86793,5.9,6,28,0
2.4,95457,5.6,3,34,0
2.9,78149,7.1,5,38,1
3.2,52553,6.3,3,27,0
1.8,81796,7.5,5,46,1
2.4,36865,4.9,3,50,0
1.3,104230,5,4,44,0
3.2,67164,6.2,6,37,1
3.7,87387,5.5,5,45,1
4,62341,5.7,5,35,1
3.5,75591,7.2,6,35,1
2.3,63244,6.2,4,46,1
3.9,89333,5.2,4,30,0
3.6,82273,7.3,5,40,1
2.5,101194,3.8,8,42,0
3,70760,7.4,6,24,1
2.3,88041,6,5,19,0
1.8,63753,6.2,4,32,0
3,101087,6.6,4,51,1
3.1,78679,5.8,4,23,0
2.6,89467,7.7,5,32,1
3,100986,6.4,5,45,1
1.5,59902,4,3,43,0
2.9,57418,6.2,4,28,0
2.8,83800,7.3,5,46,1
3.1,62728,5.3,4,53,1
3.3,55389,5.7,4,39,1
3.1,82686,4.4,4,48,0
2.4,87235,5.9,5,46,1
2.9,81769,5.3,4,43,0
3.6,82894,6.1,6,45,1
2.3,93614,6,4,58,1
3.9,59589,7.4,4,50,1
2.3,91068,6,6,52,1
2.9,60351,7.4,4,50,1
1.8,74747,7.6,5,20,0
3.5,90905,5.8,4,46,1
3,75082,6.3,5,48,1
2.5,89790,5.2,4,27,0
1.7,76872,5.5,6,27,0
2.7,60541,6.5,5,38,1
1.9,53439,6.6,4,32,0
1.9,78170,4,5,39,0
2.3,56135,5.9,4,36,0
2.7,46506,7.7,5,33,1
2.6,89243,4.9,6,59,1
2.1,51749,5.6,5,26,0
2.5,71521,4.9,6,37,0
2.7,73662,7.5,6,33,1
2.5,63414,5.3,6,32,0
1,85266,5.7,5,43,0
3,78570,7.1,3,41,1
3.3,56980,5.7,5,36,1
3.9,57094,5.2,5,29,0
2.2,62320,6.6,5,37,1
2.4,61194,6.6,5,31,0
2.2,61591,6.4,5,52,1
2.2,69328,5.3,4,60,1
3.4,67954,5.6,5,36,1
2.8,78749,5.6,6,39,1
3.4,85856,6.9,4,42,1
3.6,61450,5.4,6,50,1
2,66844,7.6,3,47,1
3,97512,7.1,4,34,0
2.3,40933,6.8,5,34,0
1.5,46838,6,5,41,0
3,62730,7.3,6,43,1
3.2,70557,4.8,8,37,1
1.8,77713,6.7,6,29,0
2.1,87856,5.6,4,25,0
2.4,72395,4.2,7,36,0
2.3,70603,6.2,6,42,1
3.5,90288,7.7,3,35,1
2.7,44969,8.1,4,38,1
3.7,63629,6.6,6,27,1
2.1,81391,7.5,6,38,1
2.3,37284,4.3,6,22,0
1.5,84473,5.1,5,35,0
1.8,81971,6.4,5,18,0
1.4,71535,8.1,5,43,1
4,79383,4.8,5,44,1
3,80310,6.9,4,48,1
1.7,74046,5.2,5,55,1
2.4,79642,5.2,4,50,0
2.4,58955,5.5,7,44,1
3,89075,6.1,5,34,1
3.8,72727,4.9,2,32,0
2.7,75451,5.1,4,41,0
3.3,106211,5.5,6,43,1
3.5,86337,6.4,6,53,1
3.6,88163,5.9,7,45,1
2.2,73190,5.2,5,48,0
2.4,68378,5.8,5,40,0
3.6,70081,5.5,5,30,0
1.2,78084,4.7,5,33,0
2.4,70857,5.1,4,37,0
3.5,62715,6.2,4,32,0
2.6,87228,6.1,7,31,0
1.8,93511,4.4,5,39,0
3.1,95058,4.8,6,38,1
2.3,91780,7.3,6,39,1
2.1,52981,6.9,6,31,0
3.1,63332,7.5,8,23,1
3.2,74523,6.9,5,24,0
3.1,89298,6.8,4,18,0
2.7,67140,6.3,5,35,0
3.3,86195,7.1,6,48,1
3.1,89879,6.2,5,35,1
4,73517,5.3,5,32,0
3.6,76589,6.8,4,34,1
4,84609,6.9,4,44,1
2.8,64954,4.8,4,47,0
1.9,100382,5.1,5,52,1
2.8,63889,4.8,5,42,0
3.4,78288,5.7,5,34,0
3.2,72096,6.1,4,48,1
1.1,32037,6.2,4,34,0
2.9,59773,5.3,5,41,0
3.2,103606,6.7,4,48,1
2.1,85851,5.6,5,39,0
3,92794,6.6,3,40,0
2.5,72246,6.5,5,63,1
2.7,81126,4.3,5,40,0
2.4,60368,3.6,5,41,0
2.4,70037,6,5,47,1
3.1,55787,6.7,5,48,1
0.9,71430,5.6,5,38,0
3.7,82993,4.4,5,45,1
2.8,67116,4.5,5,43,0
2.5,74126,5.2,5,45,0
3.6,78026,6.7,5,45,1
1.3,98735,4.9,3,50,0
2.3,64496,6.4,6,47,1
3.2,52394,5.5,5,33,0
1.5,65829,5.9,6,33,0
3.2,84032,5.6,7,44,1
3.6,79844,6,6,39,1
3.3,74588,5.8,5,42,1
1.7,68634,6.1,6,24,0
3.2,67598,5.2,4,28,0
2.3,74907,5.5,5,41,0
2.5,59318,7,8,35,1
3.4,89404,5.9,5,45,1
1.6,52885,5.2,6,37,0
1.2,83609,5.6,6,37,0
2.1,64648,5.4,4,26,0
3.3,65947,5.5,5,34,0
2,70190,6,5,47,1
0.7,58702,5.3,5,31,0
2.5,57590,7.8,5,35,1
1.1,57107,6,4,33,0
3.1,83766,6.6,5,32,0
3.5,58432,6.3,5,40,1
1.9,66618,4.5,6,58,1
1.3,88639,4.8,4,36,0
3.1,53366,6.6,6,55,1
3.6,96415,4.9,5,36,0
0.7,72891,6.7,5,32,0
3.5,72875,6,4,30,0
3.4,74149,6.8,3,36,1
2.4,74008,6.5,6,55,1
3.1,38595,5.8,4,37,0
1.6,65858,8.2,5,37,1
3.4,58778,5.2,2,42,0
2.9,67046,6.4,5,36,1
3.4,73903,6.5,4,36,1
1,94904,5.7,6,36,0
2.3,63661,4.6,3,37,0
3.1,80819,5.1,5,52,1
3.6,75326,4.8,4,32,0
2.3,46030,6.5,5,51,1
3.1,81301,6.1,5,29,0
2.6,45461,5.6,6,25,0
3.7,73014,6.1,5,57,1
3.1,36842,5.3,5,39,0
1.6,89702,6.3,3,60,1
3.5,39895,5.9,6,40,1
2.3,96473,3.7,5,47,0
1.3,73850,7.8,2,36,0
2.1,76625,5,6,26,0
3.3,103566,5.9,5,41,1
3.1,70746,5.2,4,28,0
3.4,75636,8.4,5,42,1
2.2,65612,6.8,5,36,0
2.7,101185,5,5,33,0
1.2,60546,6,5,44,0
2.9,54984,6.9,8,40,1
0.9,99651,7,5,57,1
1.2,59692,5,6,29,0
1.6,67381,3.7,4,57,0
2.6,66172,7.2,5,42,1
2.8,87193,5.8,6,32,0
2.6,67303,6.5,6,16,0
3.3,81253,6.2,5,48,1
1.5,89600,7.2,5,46,1
2.8,75040,5.7,6,45,1
1.8,89901,6.5,7,44,1
1.6,63131,5.5,6,41,0
2.4,83573,6.8,7,46,1
4,84727,5.6,5,46,1
1.9,80056,8.4,5,47,1
2.4,64083,5.6,5,49,1
1.2,53574,5.5,5,26,0
2.6,65240,6.6,5,36,1
4,75868,5.9,3,44,1
3.7,74244,7.2,6,41,1
2.7,61201,7.2,5,47,1
2.8,57403,7.5,6,39,1
3.6,85203,5.3,5,30,0
4,98571,5.9,4,46,1
3.9,60772,4.6,6,40,1
1.6,87745,5.1,3,48,0
1.7,42528,5.7,5,29,0
2.1,65780,6.7,4,48,1
3.2,70119,6.6,5,42,1
4,62069,7.7,5,45,1
3.2,108457,5.6,4,45,1
3.1,81444,6.8,4,49,1
3.2,77009,6.6,3,45,1
3.2,52364,6.7,4,37,1
1.5,83650,7.1,4,40,0
3,75539,5.6,5,34,0
1.1,80586,7.2,4,50,0
2.6,74229,4.5,5,47,1
2.6,77056,5,4,25,0
3.5,81390,6.9,5,40,1
2.4,63588,6.9,5,25,0
2.2,49247,6.7,5,36,0
2,111217,6.9,6,37,1
2.8,57603,5,4,38,0
1.6,76628,6.7,5,49,1
3.5,60014,6.6,6,31,1
1.9,83086,6,7,46,1
2.5,75077,5.8,6,43,1
2.5,52004,5.3,3,37,0
3.2,89249,7.1,6,46,1
2.5,62422,5.8,5,40,0
3.6,92860,6.4,6,37,1
2.6,82887,6.7,5,36,1
1,106691,6.7,5,50,1
2.5,66792,6.6,4,52,1
1.6,64527,5.7,5,21,0
2.2,81341,6.1,4,54,1
3.1,58360,7,6,43,1
3.2,70320,5.3,5,51,1
2.4,71359,8.5,5,35,1
1.7,88712,6.2,7,52,1
2.7,54644,5.7,6,45,1
2.9,73337,6.3,5,40,1
2.3,85248,4.1,7,37,0
1.7,89452,5.2,6,23,0
3.3,66164,5.5,5,27,0
0.8,67924,6.7,6,20,0
1.7,83685,6.4,6,51,1
2.6,87365,4.7,5,30,0
3.3,86422,6.8,2,45,1
3.2,84557,6.3,5,34,1
1.2,64238,4.3,6,49,0
2.7,75389,5.4,6,45,1
3.9,51814,4.9,3,52,1
3.3,102016,6.8,6,31,1
3.8,90022,4,5,44,1
2.3,65073,4.2,6,44,0
2.4,92913,6.9,6,33,1
3.3,81839,4.7,5,52,1
2.5,78375,5.5,6,53,1
2.7,68815,4.8,4,46,0
3.7,58924,7.4,5,28,1
3.6,53417,6.8,6,48,1
1.8,82473,6.2,5,35,0
4,79242,7.7,5,45,1
1,91325,5.3,6,33,0
3.1,74201,6,4,30,0
2.3,93770,6.9,5,44,1
0.2,59956,7.2,4,22,0
3.3,89053,6.5,4,34,0
3.2,68889,6.1,5,46,1
2.5,56708,6.6,4,53,1
2.1,55396,6.1,5,43,0
3.3,53170,5.3,5,30,0
1.5,73306,6.8,5,37,0
1.7,92081,6.7,5,35,0
3.4,62576,3.9,4,32,0
2.9,86534,4.8,5,44,0
0.8,59835,4.8,6,30,0
3.1,93482,3.6,5,28,0
1.5,89413,6.2,5,36,0
2.1,44753,7.4,5,24,0
2.6,85436,6.5,6,33,1
2.2,84103,7,4,25,0
3.5,69977,6.4,4,45,1
3.2,104817,7,5,49,1
3.5,76381,5.9,5,25,0
1.8,85082,5.6,6,42,0
3.9,64705,6.9,5,45,1
0.9,63753,6.2,6,36,0
3.4,63962,5.7,4,52,1
2.3,78028,5.8,5,33,0
3,65359,7,5,33,1
2,120763,6.3,3,37,0
2.2,73552,6,6,28,0
2.7,78637,4.4,6,42,0
3.6,62393,6.3,4,42,1
3.5,91514,6.4,6,32,1
1.4,109537,4.3,4,56,0
2.5,75082,7.9,4,34,0
1.6,68134,6.3,6,33,0
2.7,66204,5.2,5,41,0
3,63674,6.3,5,32,0
3,60723,6.8,5,30,0
2.4,52932,7.9,6,33,1
3.2,93930,5.7,5,30,0
2.9,101580,5.7,7,38,1
3.1,69703,5.9,5,43,1
2.9,57257,8.1,6,37,1
2.4,65992,5.2,5,44,0
2.8,72328,6.2,5,41,1
2.3,61709,5.7,4,46,0
3.6,50457,7.7,4,36,1
2.8,71057,6.4,5,38,1
3.2,66168,6.3,3,42,0
3.3,105960,5.4,6,39,1
1.9,82659,6.4,5,32,0
3.9,55422,6,6,24,0
2.2,57567,5.8,4,33,0
2.1,62502,7,4,47,1
0.9,124196,4.5,5,26,0
3.3,74331,6.2,5,55,1
3.7,77598,5.5,5,35,1
1.9,75476,6.2,3,46,0
2.5,61655,5.5,5,49,1
1.9,53092,7.1,7,31,0
2.2,75907,6.1,7,37,1
2.8,92901,4.8,6,41,0
2,95478,5.7,4,41,0
2.2,92189,5.4,5,30,0
3.9,75764,4,5,40,0
3.6,78349,4.1,5,31,0
2.9,74402,6.3,5,39,1
3.7,60338,6.7,5,33,1
3.6,73828,6.7,5,15,0
3.9,79140,7.7,4,47,1
3.4,90833,4.6,5,32,0
1.8,109102,8.2,6,33,1
2,68223,5.6,5,56,1
1.9,83343,6.1,5,42,0
3.8,52474,7.7,5,40,1
4,60869,6.7,5,45,1
1.9,70002,6.6,6,25,0
3.2,76384,4.7,6,35,0
1.8,72011,6.2,7,29,0
2.9,62333,5.4,6,36,0
1.8,53278,7.2,6,50,1
1.5,103530,7.1,4,33,0
3,87440,4.1,6,54,1
2.8,80820,6.7,5,29,0
2.2,65824,4.6,5,66,1
2.4,57604,7,6,36,1
3.6,75703,5.2,5,27,0
2.5,66131,5.8,6,25,0
2.3,50162,5.3,4,32,0
3.9,68895,5.1,4,36,0
3.2,78373,4.7,4,19,0
2.3,73308,7.5,4,33,0
3,83843,6.8,6,31,1
2.5,88676,6.2,5,36,0
3.6,87607,7.3,6,32,1
2.8,59302,5.9,4,37,0
4,68359,6.3,6,34,1
2.8,78582,4.7,5,28,0
3.3,89326,6.4,3,38,0
2.5,76877,3.8,4,37,0
2.7,76827,6.5,5,32,0
3.1,76854,6.2,7,44,1
0.6,77953,6.8,8,47,1
3.6,78008,7.5,4,48,1
3.5,76898,6.8,4,50,1
3.1,92111,5,6,46,1
1.3,88193,5.9,5,46,0
3.7,69295,4.4,4,34,0
1.3,53637,7.4,6,42,1
3.1,53197,5.7,6,37,1
2.7,84239,5.1,6,57,1
3.8,72017,5.9,4,39,1
3.8,74075,5.9,5,52,1
1.8,85234,4.7,5,42,0
2.6,84257,7.8,3,32,0
0.8,91412,5.6,4,36,0
1.9,89171,6.7,4,46,0
3,95609,6.2,6,35,1
2.8,57067,7,5,39,1
1.3,79740,4.7,5,31,0
3.2,98119,5.1,5,29,0
2.6,71040,7.8,7,32,1
3.6,73322,5.9,5,44,1
3.4,62765,5.5,6,28,0
3.3,67831,6.8,6,54,1
2.4,63152,6.4,5,38,1
3.1,73609,5,4,52,1
2,92132,5.1,6,31,0
2.4,106610,4.2,6,30,0
2.1,88505,4.4,4,35,0
1.7,80073,8.4,6,32,1
3.2,47853,6.2,3,36,0
2.8,51726,5.3,5,49,1
2.9,78765,6.1,6,42,1
1.9,45015,7.2,5,38,0
2.2,71656,4.4,5,48,0
2.8,80178,7,7,19,0
2.8,52738,5.5,7,28,0
2.5,59800,5.5,5,44,1
1.7,75775,5,4,32,0
2.3,98870,6.9,6,25,0
3.7,60851,5.9,5,40,1
3.2,68653,6,4,33,0
3.4,76955,6.3,5,31,0
1.9,71726,7.8,6,18,0
2.8,88581,6.8,4,55,1
3.7,60989,6.6,6,44,1
2.8,47980,4.3,3,45,0
1.1,83997,6.1,8,36,0
1.6,67540,6.3,3,52,0
1.9,50936,5.5,4,45,0
1.9,73034,6.7,4,47,1
3.6,81079,6.5,5,26,0
3.9,79010,5,7,29,1
3.1,72668,6.9,4,35,0
3.7,75007,6.2,5,36,1
3.2,77865,5.1,5,32,0
3.6,72251,4.9,5,39,0
3.3,93360,7.5,5,32,1
2.4,91626,5.1,5,59,1
2.6,68443,5.7,4,26,0
2.9,67991,6.7,4,24,0
2.9,95240,7.6,4,42,1
1.5,66007,6.6,5,32,0
3,66344,5.8,4,38,0
3.5,81992,4.3,5,36,0
3.2,73846,6.4,4,45,1
2.9,59340,6.4,6,41,1
2.7,58481,5.5,5,39,0
3.8,92307,7,6,31,1
2.6,88322,5.4,6,35,0
1.9,53190,6.9,5,41,1
2,122879,6.6,4,63,1
3.1,58388,7.1,4,42,1
3.7,76249,5.9,3,25,0
2.9,87725,6.1,5,47,1
2.1,62178,7.8,6,30,1
2.6,84530,5,5,44,0
3,58090,6.2,5,38,1
2.8,55616,7.3,4,43,1
3,65400,5,5,17,0
2.9,72886,7.5,4,42,1
3.8,66240,6,3,62,1
3,69514,5.1,4,33,0
3.3,80137,3.1,6,53,1
3.1,66608,6.3,6,38,1
1.8,66405,6.6,5,31,0
1.5,62542,6.5,5,31,0
2.2,51513,5.8,5,44,0
1.5,84416,4.3,4,30,0
3.8,75836,5.7,6,32,1
2.3,75102,5.5,5,55,1
2.3,67682,6.9,5,38,1
2.2,57048,6.4,4,40,0
2.5,95403,5.6,6,40,1
2.1,88350,5.9,6,38,0
2.7,87205,5.5,5,35,0
3.4,77645,6.4,5,47,1
2.5,68618,5.2,5,31,0
2.8,84554,7.1,4,37,1
1.4,59702,4.9,2,23,0
3.3,71642,6.3,5,34,0
1.9,82327,5.7,7,43,1
3.3,47987,6.2,6,46,1
3,70964,5.4,4,36,0
2.4,41921,6.2,4,48,1
1.7,54999,5.9,5,40,0
2.4,71391,4.8,4,43,0
3.1,79009,8,4,51,1
2,66471,8,7,33,1
2.3,51300,5.3,5,43,0
3.8,66723,7.3,3,26,0
1.1,91925,7.5,5,42,1
2.6,81043,4.2,5,28,0
2.6,67184,4.9,5,44,0
3.4,71962,5.4,5,34,0
3.2,63952,7.1,3,21,0
1.6,105562,5.6,4,41,0
3.8,63174,7.6,5,33,1
3.5,99348,5.7,4,32,0
4,86284,6.3,4,37,1
2.2,71471,6,4,32,0
1,76925,5,4,17,0
3.7,74861,4.7,4,23,0
2.9,61060,6.8,5,38,1
2.3,55726,5.3,6,35,0
1.9,66429,7.9,4,50,1
3,83135,5.2,6,54,1
2,56517,4.7,4,15,0
2.3,80673,5.4,7,54,1
2.7,73091,6.1,5,47,1
1,94380,5.1,6,52,0
1.7,77307,6.1,4,39,0
2.2,67415,6.5,7,35,1
2.1,101277,5.1,7,47,1
3.7,51191,6.1,4,37,1
2.3,98125,6.2,5,48,1
2.2,57843,7.5,4,43,1
2.7,79902,6,4,18,0
3.3,78055,7.4,3,41,1
3.3,66839,7.8,4,29,1
3.5,72439,6.7,5,37,1
3.5,69965,7.7,5,20,1
3.4,67267,5.7,5,30,0
3.5,60430,4.3,4,49,1
3.9,53592,3.2,4,55,1
3.9,82267,6.5,6,47,1
3.6,88381,5.1,6,34,0
1.7,84687,5.3,5,45,0
